itemCode, duration, forcepoints, brickpoint, tokens, discount
aaa,1000000,1000,0,4000,0
aab,1000000,2000,0,4000,0
aac,1000000,3000,0,4000,0
aad,1000000,4000,0,4000,0
aae,1000000,5000,0,4000,0
aaf,1000000,6000,0,4000,0
aag,1000000,7000,0,4000,0
aah,1000000,8000,0,4000,0
aai,1000000,9000,0,4000,0
aaj,1000000,10000,0,4000,0
aak,1000000,11000,0,4000,0
aal,1000000,12000,0,4000,0
aam,1000000,13000,0,4000,0
aan,1000000,14000,0,4000,0
aao,1000000,15000,0,4000,0
aap,1000000,16000,0,4000,0
aaq,1000000,17000,0,4000,0
aar,1000000,18000,0,4000,0
aas,1000000,19000,0,4000,0
aat,1000000,20000,0,4000,0
aau,1000000,5000,0,4000,0
aav,1000000,5000,0,4000,0
aaw,1000000,5000,0,4000,0
aax,1000000,5000,0,4000,0
aay,1000000,5000,0,4000,0
aaz,1000000,5000,0,4000,0
aba,1000000,5000,0,4000,0
abb,1000000,5000,0,4000,0
abc,1000000,5000,0,4000,0
abd,1000000,5000,0,4000,0
abe,1000000,5000,0,4000,0
abf,1000000,5000,0,4000,0
abg,1000000,5000,0,4000,0
abh,1000000,5000,0,4000,0
abi,1000000,5000,0,4000,0
abj,1000000,5000,0,4000,0
abk,1000000,5000,0,4000,0
abl,1000000,5000,0,4000,0
abm,1000000,5000,0,4000,0
abn,1000000,5000,0,4000,0
abo,1000000,5000,0,4000,0
abp,1000000,5000,0,4000,0
abq,1000000,5000,0,4000,0
abr,1000000,5000,0,4000,0
abs,1000000,5000,0,4000,0
abt,1000000,5000,0,4000,0
abu,1000000,5000,0,4000,0
abv,1000000,5000,0,4000,0
abw,1000000,5000,0,4000,0
abx,1000000,5000,0,4000,0
aby,1000000,5000,0,4000,0
abz,1000000,5000,0,4000,0
aca,1000000,5000,0,4000,0
acb,1000000,5000,0,4000,0
acc,1000000,5000,0,4000,0
acd,1000000,5000,0,4000,0
ace,1000000,5000,0,4000,0
acf,1000000,5000,0,4000,0
acg,1000000,5000,0,4000,0
ach,1000000,5000,0,4000,0
aci,1000000,5000,0,4000,0
acj,1000000,5000,0,4000,0
ack,1000000,5000,0,4000,0
acl,1000000,5000,0,4000,0
acm,1000000,5000,0,4000,0
acn,1000000,5000,0,4000,0
aco,1000000,5000,0,4000,0
