itemCode,isNew,isHot,isVisible,starRate,isSpecialOffer,isOfferOnce,isGiftable,ispromo,rebuyInvisible,minimumForcePointLevel,minimumTokenLevel
aaa,0,0,1,100,0,0,1,0,0,0,0
aab,0,0,1,100,0,0,1,0,0,0,0
aac,0,0,1,100,0,0,1,0,0,0,0
aad,0,0,1,100,0,0,1,0,0,0,0
aae,0,0,1,100,0,0,1,0,0,0,0
aaf,0,0,1,100,0,0,1,0,0,0,0
aag,0,0,1,100,0,0,1,0,0,0,0
aah,0,0,1,100,0,0,1,0,0,0,0
aai,0,0,1,100,0,0,1,0,0,0,0
aaj,0,0,1,100,0,0,1,0,0,0,0
aak,0,0,1,100,0,0,1,0,0,0,0
aal,0,0,1,100,0,0,1,0,0,0,0
aam,0,0,1,100,0,0,1,0,0,0,0
aan,0,0,1,100,0,0,1,0,0,0,0
aao,0,0,1,100,0,0,1,0,0,0,0
aap,0,0,1,100,0,0,1,0,0,0,0
aaq,0,0,1,100,0,0,1,0,0,0,0
aar,0,0,1,100,0,0,1,0,0,0,0
aas,0,0,1,100,0,0,1,0,0,0,0
aat,0,0,1,100,0,0,1,0,0,0,0
aau,0,0,1,100,0,0,1,0,0,0,0
aav,0,0,1,100,0,0,1,0,0,0,0
aaw,0,0,1,100,0,0,1,0,0,0,0
aax,0,0,1,100,0,0,1,0,0,0,0
aay,0,0,1,100,0,0,1,0,0,0,0
aaz,0,0,1,100,0,0,1,0,0,0,0
aba,0,0,1,100,0,0,1,0,0,0,0
abb,0,0,1,100,0,0,1,0,0,0,0
abc,0,0,1,100,0,0,1,0,0,0,0
abd,0,0,1,100,0,0,1,0,0,0,0
abe,0,0,1,100,0,0,1,0,0,0,0
abf,0,0,1,100,0,0,1,0,0,0,0
abg,0,0,1,100,0,0,1,0,0,0,0
abh,0,0,1,100,0,0,1,0,0,0,0
abi,0,0,1,100,0,0,1,0,0,0,0
abj,0,0,1,100,0,0,1,0,0,0,0
abk,0,0,1,100,0,0,1,0,0,0,0
abl,0,0,1,100,0,0,1,0,0,0,0
abm,0,0,1,100,0,0,1,0,0,0,0
abn,0,0,1,100,0,0,1,0,0,0,0
abo,0,0,1,100,0,0,1,0,0,0,0
abp,0,0,1,100,0,0,1,0,0,0,0
abq,0,0,1,100,0,0,1,0,0,0,0
abr,0,0,1,100,0,0,1,0,0,0,0
abs,0,0,1,100,0,0,1,0,0,0,0
abt,0,0,1,100,0,0,1,0,0,0,0
abu,0,0,1,100,0,0,1,0,0,0,0
abv,0,0,1,100,0,0,1,0,0,0,0
abw,0,0,1,100,0,0,1,0,0,0,0
abx,0,0,1,100,0,0,1,0,0,0,0
aby,0,0,1,100,0,0,1,0,0,0,0
abz,0,0,1,100,0,0,1,0,0,0,0
aca,0,0,1,100,0,0,1,0,0,0,0
acb,0,0,1,100,0,0,1,0,0,0,0
acc,0,0,1,100,0,0,1,0,0,0,0
acd,0,0,1,100,0,0,1,0,0,0,0
ace,0,0,1,100,0,0,1,0,0,0,0
acf,0,0,1,100,0,0,1,0,0,0,0
acg,0,0,1,100,0,0,1,0,0,0,0
ach,0,0,1,100,0,0,1,0,0,0,0
aci,0,0,1,100,0,0,1,0,0,0,0
acj,0,0,1,100,0,0,1,0,0,0,0
ack,0,0,1,100,0,0,1,0,0,0,0
acl,0,0,1,100,0,0,1,0,0,0,0
acm,0,0,1,100,0,0,1,0,0,0,0
acn,0,0,1,100,0,0,1,0,0,0,0
aco,0,0,1,100,0,0,1,0,0,0,0
acp,0,0,1,100,0,0,1,0,0,0,0
acq,0,0,1,100,0,0,1,0,0,0,0
acr,0,0,1,100,0,0,1,0,0,0,0
acs,0,0,1,100,0,0,1,0,0,0,0
act,0,0,1,100,0,0,1,0,0,0,0
acu,0,0,1,100,0,0,1,0,0,0,0
acv,0,0,1,100,0,0,1,0,0,0,0
acw,0,0,1,100,0,0,1,0,0,0,0
acx,0,0,1,100,0,0,1,0,0,0,0
acy,0,0,1,100,0,0,1,0,0,0,0
acz,0,0,1,100,0,0,1,0,0,0,0
ada,0,0,1,100,0,0,1,0,0,0,0
adb,0,0,1,100,0,0,1,0,0,0,0
adc,0,0,1,100,0,0,1,0,0,0,0
add,0,0,1,100,0,0,1,0,0,0,0
ade,0,0,1,100,0,0,1,0,0,0,0
adf,0,0,1,100,0,0,1,0,0,0,0
adg,0,0,1,100,0,0,1,0,0,0,0
adh,0,0,1,100,0,0,1,0,0,0,0
adi,0,0,1,100,0,0,1,0,0,0,0
adj,0,0,1,100,0,0,1,0,0,0,0
adk,0,0,1,100,0,0,1,0,0,0,0
adl,0,0,1,100,0,0,1,0,0,0,0
adm,0,0,1,100,0,0,1,0,0,0,0
adn,0,0,1,100,0,0,1,0,0,0,0
ado,0,0,1,100,0,0,1,0,0,0,0
adp,0,0,1,100,0,0,1,0,0,0,0
adq,0,0,1,100,0,0,1,0,0,0,0
adr,0,0,1,100,0,0,1,0,0,0,0
ads,0,0,1,100,0,0,1,0,0,0,0
adt,0,0,1,100,0,0,1,0,0,0,0
adu,0,0,1,100,0,0,1,0,0,0,0
adw,0,0,1,100,0,0,1,0,0,0,0
adx,0,0,1,100,0,0,1,0,0,0,0
ady,0,0,1,100,0,0,1,0,0,0,0
adz,0,0,1,100,0,0,1,0,0,0,0
aea,0,0,1,100,0,0,1,0,0,0,0
aeb,0,0,1,100,0,0,1,0,0,0,0
aec,0,0,1,100,0,0,1,0,0,0,0
aed,0,0,1,100,0,0,1,0,0,0,0
aee,0,0,1,100,0,0,1,0,0,0,0
aef,0,0,1,100,0,0,1,0,0,0,0
aeg,0,0,1,100,0,0,1,0,0,0,0
aeh,0,0,1,100,0,0,1,0,0,0,0
aei,0,0,1,100,0,0,1,0,0,0,0
aej,0,0,1,100,0,0,1,0,0,0,0
aek,0,0,1,100,0,0,1,0,0,0,0
ael,0,0,1,100,0,0,1,0,0,0,0
aem,0,0,1,100,0,0,1,0,0,0,0
aen,0,0,1,100,0,0,1,0,0,0,0
aeo,0,0,1,100,0,0,1,0,0,0,0
aep,0,0,1,100,0,0,1,0,0,0,0
aeq,0,0,1,100,0,0,1,0,0,0,0
aer,0,0,1,100,0,0,1,0,0,0,0
aes,0,0,1,100,0,0,1,0,0,0,0
aet,0,0,1,100,0,0,1,0,0,0,0
aeu,0,0,1,100,0,0,1,0,0,0,0
aew,0,0,1,100,0,0,1,0,0,0,0
aex,0,0,1,100,0,0,1,0,0,0,0
aey,0,0,1,100,0,0,1,0,0,0,0
aez,0,0,1,100,0,0,1,0,0,0,0
afa,0,0,1,100,0,0,1,0,0,0,0
aff,0,0,1,100,0,0,1,0,0,0,0
afg,0,0,1,100,0,0,1,0,0,0,0
afh,0,0,1,100,0,0,1,0,0,0,0
afi,0,0,1,100,0,0,1,0,0,0,0
afj,0,0,1,100,0,0,1,0,0,0,0
afk,0,0,1,100,0,0,1,0,0,0,0
afl,0,0,1,100,0,0,1,0,0,0,0
afm,0,0,1,100,0,0,1,0,0,0,0
afb,0,0,1,100,0,0,1,0,0,0,0
afc,0,0,1,100,0,0,1,0,0,0,0
afd,0,0,1,100,0,0,1,0,0,0,0
afe,0,0,1,100,0,0,1,0,0,0,0
afo,0,0,1,100,0,0,1,0,0,0,0
afp,0,0,1,100,0,0,1,0,0,0,0
afq,0,0,1,100,0,0,1,0,0,0,0
afr,0,0,1,100,0,0,1,0,0,0,0
afs,0,0,1,100,0,0,1,0,0,0,0
aft,0,0,1,100,0,0,1,0,0,0,0
afu,0,0,1,100,0,0,1,0,0,0,0
afw,0,0,1,100,0,0,1,0,0,0,0
afx,0,0,1,100,0,0,1,0,0,0,0
afy,0,0,1,100,0,0,1,0,0,0,0
afz,0,0,1,100,0,0,1,0,0,0,0
aga,0,0,1,100,0,0,1,0,0,0,0
agb,0,0,1,100,0,0,1,0,0,0,0
agc,0,0,1,100,0,0,1,0,0,0,0
agd,0,0,1,100,0,0,1,0,0,0,0
age,0,0,1,100,0,0,1,0,0,0,0
agf,0,0,1,100,0,0,1,0,0,0,0
agg,0,0,1,100,0,0,1,0,0,0,0
agh,0,0,1,100,0,0,1,0,0,0,0
agi,0,0,1,100,0,0,1,0,0,0,0
agj,0,0,1,100,0,0,1,0,0,0,0
agk,0,0,1,100,0,0,1,0,0,0,0
agl,0,0,1,100,0,0,1,0,0,0,0
agm,0,0,1,100,0,0,1,0,0,0,0
agn,0,0,1,100,0,0,1,0,0,0,0
ago,0,0,1,100,0,0,1,0,0,0,0
agp,0,0,1,100,0,0,1,0,0,0,0
agq,0,0,1,100,0,0,1,0,0,0,0
agr,0,0,1,100,0,0,1,0,0,0,0
ags,0,0,1,100,0,0,1,0,0,0,0
agt,0,0,1,100,0,0,1,0,0,0,0
agu,0,0,1,100,0,0,1,0,0,0,0
agv,0,0,1,100,0,0,1,0,0,0,0
agw,0,0,1,100,0,0,1,0,0,0,0
agx,0,0,1,100,0,0,1,0,0,0,0
agy,0,0,1,100,0,0,1,0,0,0,0
agz,0,0,1,100,0,0,1,0,0,0,0
aha,0,0,1,100,0,0,1,0,0,0,0
ahb,0,0,1,100,0,0,1,0,0,0,0
ahc,0,0,1,100,0,0,1,0,0,0,0
ahd,0,0,1,100,0,0,1,0,0,0,0
ahe,0,0,1,100,0,0,1,0,0,0,0
ahf,0,0,1,100,0,0,1,0,0,0,0
ahg,0,0,1,100,0,0,1,0,0,0,0
ahh,0,0,1,100,0,0,1,0,0,0,0
ahi,0,0,1,100,0,0,1,0,0,0,0
ahj,0,0,1,100,0,0,1,0,0,0,0
ahk,0,0,1,100,0,0,1,0,0,0,0
ahl,0,0,1,100,0,0,1,0,0,0,0
ahm,0,0,1,100,0,0,1,0,0,0,0
ahn,0,0,1,100,0,0,1,0,0,0,0
aho,0,0,1,100,0,0,1,0,0,0,0
ahp,0,0,1,100,0,0,1,0,0,0,0
ahq,0,0,1,100,0,0,1,0,0,0,0
ahr,0,0,1,100,0,0,1,0,0,0,0
ahs,0,0,1,100,0,0,1,0,0,0,0
aht,0,0,1,100,0,0,1,0,0,0,0
ahu,0,0,1,100,0,0,1,0,0,0,0
ahv,0,0,1,100,0,0,1,0,0,0,0
ahw,0,0,1,100,0,0,1,0,0,0,0
ahx,0,0,1,100,0,0,1,0,0,0,0
ahy,0,0,1,100,0,0,1,0,0,0,0
ahz,0,0,1,100,0,0,1,0,0,0,0
aia,0,0,1,100,0,0,1,0,0,0,0
aib,0,0,1,100,0,0,1,0,0,0,0
aic,0,0,1,100,0,0,1,0,0,0,0
aid,0,0,1,100,0,0,1,0,0,0,0
aie,0,0,1,100,0,0,1,0,0,0,0
aif,0,0,1,100,0,0,1,0,0,0,0
aig,0,0,1,100,0,0,1,0,0,0,0
aih,0,0,1,100,0,0,1,0,0,0,0
aii,0,0,1,100,0,0,1,0,0,0,0
aij,0,0,1,100,0,0,1,0,0,0,0
aik,0,0,1,100,0,0,1,0,0,0,0
ail,0,0,1,100,0,0,1,0,0,0,0
aim,0,0,1,100,0,0,1,0,0,0,0
ain,0,0,1,100,0,0,1,0,0,0,0
aio,0,0,1,100,0,0,1,0,0,0,0
aip,0,0,1,100,0,0,1,0,0,0,0
aiq,0,0,1,100,0,0,1,0,0,0,0
air,0,0,1,100,0,0,1,0,0,0,0
ais,0,0,1,100,0,0,1,0,0,0,0
ait,0,0,1,100,0,0,1,0,0,0,0
aiu,0,0,1,100,0,0,1,0,0,0,0
aiv,0,0,1,100,0,0,1,0,0,0,0
aiw,0,0,1,100,0,0,1,0,0,0,0
aix,0,0,1,100,0,0,1,0,0,0,0
aiy,0,0,1,100,0,0,1,0,0,0,0
aiz,0,0,1,100,0,0,1,0,0,0,0
aja,0,0,1,100,0,0,1,0,0,0,0
ajb,0,0,1,100,0,0,1,0,0,0,0
ajc,0,0,1,100,0,0,1,0,0,0,0
ajd,0,0,1,100,0,0,1,0,0,0,0
aje,0,0,1,100,0,0,1,0,0,0,0
ajf,0,0,1,100,0,0,1,0,0,0,0
ajg,0,0,1,100,0,0,1,0,0,0,0
ajh,0,0,1,100,0,0,1,0,0,0,0
aji,0,0,1,100,0,0,1,0,0,0,0
ajj,0,0,1,100,0,0,1,0,0,0,0
ajk,0,0,1,100,0,0,1,0,0,0,0
ajl,0,0,1,100,0,0,1,0,0,0,0
ajm,0,0,1,100,0,0,1,0,0,0,0
ajn,0,0,1,100,0,0,1,0,0,0,0
ajo,0,0,1,100,0,0,1,0,0,0,0
ajp,0,0,1,100,0,0,1,0,0,0,0
ajq,0,0,1,100,0,0,1,0,0,0,0
ajr,0,0,1,100,0,0,1,0,0,0,0
ajs,0,0,1,100,0,0,1,0,0,0,0
ajt,0,0,1,100,0,0,1,0,0,0,0
aju,0,0,1,100,0,0,1,0,0,0,0
ajv,0,0,1,100,0,0,1,0,0,0,0
ajw,0,0,1,100,0,0,1,0,0,0,0
ajx,0,0,1,100,0,0,1,0,0,0,0
ajy,0,0,1,100,0,0,1,0,0,0,0
ajz,0,0,1,100,0,0,1,0,0,0,0
aka,0,0,1,100,0,0,1,0,0,0,0
akb,0,0,1,100,0,0,1,0,0,0,0
akc,0,0,1,100,0,0,1,0,0,0,0
akd,0,0,1,100,0,0,1,0,0,0,0
ake,0,0,1,100,0,0,1,0,0,0,0
akf,0,0,1,100,0,0,1,0,0,0,0
akg,0,0,1,100,0,0,1,0,0,0,0
akh,0,0,1,100,0,0,1,0,0,0,0
aki,0,0,1,100,0,0,1,0,0,0,0
akj,0,0,1,100,0,0,1,0,0,0,0
akk,0,0,1,100,0,0,1,0,0,0,0
akl,0,0,1,100,0,0,1,0,0,0,0
akm,0,0,1,100,0,0,1,0,0,0,0
akn,0,0,1,100,0,0,1,0,0,0,0
ako,0,0,1,100,0,0,1,0,0,0,0
akp,0,0,1,100,0,0,1,0,0,0,0
akq,0,0,1,100,0,0,1,0,0,0,0
akr,0,0,1,100,0,0,1,0,0,0,0
aks,0,0,1,100,0,0,1,0,0,0,0
akt,0,0,1,100,0,0,1,0,0,0,0
waa,0,0,1,100,0,0,1,0,0,0,0
wab,0,0,1,100,0,0,1,0,0,0,0
wad,0,0,1,100,0,0,1,0,0,0,0
wae,0,0,1,100,0,0,1,0,0,0,0
waf,0,0,1,100,0,0,1,0,0,0,0
wag,0,0,1,100,0,0,1,0,0,0,0
wah,0,0,1,100,0,0,1,0,0,0,0
wai,0,0,1,100,0,0,1,0,0,0,0
waj,0,0,1,100,0,0,1,0,0,0,0
wak,0,0,1,100,0,0,1,0,0,0,0
wal,0,0,1,100,0,0,1,0,0,0,0
wao,0,0,1,100,0,0,1,0,0,0,0
wap,0,0,1,100,0,0,1,0,0,0,0
waq,0,0,1,100,0,0,1,0,0,0,0
war,0,0,1,100,0,0,1,0,0,0,0
was,0,0,1,100,0,0,1,0,0,0,0
wat,0,0,1,100,0,0,1,0,0,0,0
wau,0,0,1,100,0,0,1,0,0,0,0
wav,0,0,1,100,0,0,1,0,0,0,0
waw,0,0,1,100,0,0,1,0,0,0,0
wax,0,0,1,100,0,0,1,0,0,0,0
way,0,0,1,100,0,0,1,0,0,0,0
waz,0,0,1,100,0,0,1,0,0,0,0
wbb,0,0,1,100,0,0,1,0,0,0,0
wbc,0,0,1,100,0,0,1,0,0,0,0
wbd,1,0,1,120,0,0,1,0,0,0,0
wbe,0,0,1,100,0,0,1,0,0,0,0
wbf,0,0,1,100,0,0,1,0,0,0,0
wbg,0,0,1,100,0,0,1,0,0,0,0
wbh,0,0,1,100,0,0,1,0,0,0,0
wbi,0,0,1,100,0,0,1,0,0,0,0
wbj,0,0,1,100,0,0,1,0,0,0,0
wbk,0,0,1,100,0,0,1,0,0,0,0
wbl,0,0,1,100,0,0,1,0,0,0,0
wbm,0,0,1,100,0,0,1,0,0,0,0
wbn,0,0,1,100,0,0,1,0,0,0,0
wbo,0,0,1,100,0,0,1,0,0,0,0
wbp,0,0,1,100,0,0,1,0,0,0,0
wbq,0,0,1,100,0,0,1,0,0,0,0
wbr,0,0,1,100,0,0,1,0,0,0,0
wbs,0,0,1,100,0,0,1,0,0,0,0
wbt,0,0,1,100,0,0,1,0,0,0,0
wbu,0,0,1,100,0,0,1,0,0,0,0
wbv,0,0,1,100,0,0,1,0,0,0,0
wbw,0,0,1,100,0,0,1,0,0,0,0
wbx,0,0,1,100,0,0,1,0,0,0,0
wbz,0,0,1,100,0,0,1,0,0,0,0
wca,0,0,1,100,0,0,1,0,0,0,0
wcb,0,0,1,100,0,0,1,0,0,0,0
wcc,0,0,1,100,0,0,1,0,0,0,0
wcd,0,0,1,100,0,0,1,0,0,0,0
wce,0,0,1,100,0,0,1,0,0,0,0
wcf,0,0,1,100,0,0,1,0,0,0,0
wcg,0,0,1,100,0,0,1,0,0,0,0
wch,0,0,1,100,0,0,1,0,0,0,0
wci,0,0,1,100,0,0,1,0,0,0,0
wcj,0,0,1,100,0,0,1,0,0,0,0
wck,0,0,1,100,0,0,1,0,0,0,0
wcl,0,0,1,100,0,0,1,0,0,0,0
wcm,0,0,1,100,0,0,1,0,0,0,0
wcn,0,0,1,100,0,0,1,0,0,0,0
wco,0,0,1,100,0,0,1,0,0,0,0
wcp,0,0,1,100,0,0,1,0,0,0,0
wcq,0,0,1,100,0,0,1,0,0,0,0
wcr,0,0,1,100,0,0,1,0,0,0,0
wcs,0,0,1,100,0,0,1,0,0,0,0
wct,0,0,1,100,0,0,1,0,0,0,0
wcu,0,0,1,100,0,0,1,0,0,0,0
wcv,0,0,1,100,0,0,1,0,0,0,0
wcw,0,0,1,100,0,0,1,0,0,0,0
wcx,0,0,1,100,0,0,1,0,0,0,0
wcy,0,0,1,100,0,0,1,0,0,0,0
wcz,0,0,1,100,0,0,1,0,0,0,0
wda,0,0,1,100,0,0,1,0,0,0,0
wdb,0,0,1,100,0,0,1,0,0,0,0
wdc,0,0,1,100,0,0,1,0,0,0,0
wdd,0,0,1,100,0,0,1,0,0,0,0
wde,0,0,1,100,0,0,1,0,0,0,0
wdf,0,0,1,100,0,0,1,0,0,0,0
wdg,0,0,1,100,0,0,1,0,0,0,0
wdh,0,0,1,100,0,0,1,0,0,0,0
wdi,0,0,1,100,0,0,1,0,0,0,0
wdj,0,0,1,100,0,0,1,0,0,0,0
wdk,0,0,1,100,0,0,1,0,0,0,0
wdl,0,0,1,100,0,0,1,0,0,0,0
wdm,0,0,1,100,0,0,1,0,0,0,0
wdn,0,0,1,100,0,0,1,0,0,0,0
wdo,0,0,1,100,0,0,1,0,0,0,0
wdp,0,0,1,100,0,0,1,0,0,0,0
wdq,0,0,1,100,0,0,1,0,0,0,0
wdr,0,0,1,100,0,0,1,0,0,0,0
wds,0,0,1,100,0,0,1,0,0,0,0
wdt,0,0,1,100,0,0,1,0,0,0,0
wdu,0,0,1,100,0,0,1,0,0,0,0
wdw,0,0,1,100,0,0,1,0,0,0,0
wdx,0,0,1,100,0,0,1,0,0,0,0
wdy,0,0,1,100,0,0,1,0,0,0,0
wdz,0,0,1,100,0,0,1,0,0,0,0
wea,0,0,1,100,0,0,1,0,0,0,0
web,0,0,1,100,0,0,1,0,0,0,0
wec,0,0,1,100,0,0,1,0,0,0,0
wed,0,0,1,100,0,0,1,0,0,0,0
wee,0,0,1,100,0,0,1,0,0,0,0
wef,0,0,1,100,0,0,1,0,0,0,0
weg,0,0,1,100,0,0,1,0,0,0,0
weh,0,0,1,100,0,0,1,0,0,0,0
wei,0,0,1,100,0,0,1,0,0,0,0
wej,0,0,1,100,0,0,1,0,0,0,0
wek,0,0,1,100,0,0,1,0,0,0,0
wem,0,0,1,100,0,0,1,0,0,0,0
wen,0,0,1,100,0,0,1,0,0,0,0
wel,0,0,1,100,0,0,1,0,0,0,0
weo,0,0,1,100,0,0,1,0,0,0,0
wep,0,0,1,100,0,0,1,0,0,0,0
weq,0,0,1,100,0,0,1,0,0,0,0
wew,0,0,1,100,0,0,1,0,0,0,0
wex,0,0,1,100,0,0,1,0,0,0,0
wey,0,0,1,100,0,0,1,0,0,0,0
wez,0,0,1,100,0,0,1,0,0,0,0
wfa,0,0,1,100,0,0,1,0,0,0,0
wfb,0,0,1,100,0,0,1,0,0,0,0
wfc,0,0,1,100,0,0,1,0,0,0,0
weu,0,0,1,100,0,0,1,0,0,0,0
wes,0,0,1,100,0,0,1,0,0,0,0
wet,0,0,1,100,0,0,1,0,0,0,0
wer,0,0,1,100,0,0,1,0,0,0,0
wev,0,0,1,100,0,0,1,0,0,0,0
wfd,0,0,1,100,0,0,1,0,0,0,0
wfe,0,0,1,100,0,0,1,0,0,0,0
wff,0,0,1,100,0,0,1,0,0,0,0
wfg,0,0,1,100,0,0,1,0,0,0,0
wfh,0,0,1,100,0,0,1,0,0,0,0
wfi,0,0,1,100,0,0,1,0,0,0,0
wfj,0,0,1,100,0,0,1,0,0,0,0
wfk,0,0,1,100,0,0,1,0,0,0,0
wfl,0,0,1,100,0,0,1,0,0,0,0
wfm,0,0,1,100,0,0,1,0,0,0,0
wfn,0,0,1,100,0,0,1,0,0,0,0
wfo,0,0,1,100,0,0,1,0,0,0,0
wfp,0,0,1,100,0,0,1,0,0,0,0
wfq,0,0,1,100,0,0,1,0,0,0,0
wfr,0,0,1,100,0,0,1,0,0,0,0
wfs,0,0,1,100,0,0,1,0,0,0,0
wft,0,0,1,100,0,0,1,0,0,0,0
wfu,0,0,1,100,0,0,1,0,0,0,0
wfv,0,0,1,100,0,0,1,0,0,0,0
wfw,0,0,1,100,0,0,1,0,0,0,0
wfx,0,0,1,100,0,0,1,0,0,0,0
wfy,0,0,1,100,0,0,1,0,0,0,0
wfz,0,0,1,100,0,0,1,0,0,0,0
wga,0,0,1,100,0,0,1,0,0,0,0
wgb,0,0,1,100,0,0,1,0,0,0,0
wgc,0,0,1,100,0,0,1,0,0,0,0
wgd,0,0,1,100,0,0,1,0,0,0,0
wge,0,0,1,100,0,0,1,0,0,0,0
wgf,0,0,1,100,0,0,1,0,0,0,0
wgg,0,0,1,100,0,0,1,0,0,0,0
wgh,0,0,1,100,0,0,1,0,0,0,0
wgi,0,0,1,100,0,0,1,0,0,0,0
wgj,0,0,1,100,0,0,1,0,0,0,0
wgk,0,0,1,100,0,0,1,0,0,0,0
wgl,0,0,1,100,0,0,1,0,0,0,0
wgm,0,0,1,100,0,0,1,0,0,0,0
wgn,0,0,1,100,0,0,1,0,0,0,0
wgo,0,0,1,100,0,0,1,0,0,0,0
wgp,0,0,1,100,0,0,1,0,0,0,0
wgq,0,0,1,100,0,0,1,0,0,0,0
wgr,0,0,1,100,0,0,1,0,0,0,0
wgs,0,0,1,100,0,0,1,0,0,0,0
wgt,0,0,1,100,0,0,1,0,0,0,0
wgu,0,0,1,100,0,0,1,0,0,0,0
wgv,0,0,1,100,0,0,1,0,0,0,0
wgw,0,0,1,100,0,0,1,0,0,0,0
wgx,0,0,1,100,0,0,1,0,0,0,0
wgy,0,0,1,100,0,0,1,0,0,0,0
wgz,0,0,1,100,0,0,1,0,0,0,0
wha,0,0,1,100,0,0,1,0,0,0,0
whb,0,0,1,100,0,0,1,0,0,0,0
whc,0,0,1,100,0,0,1,0,0,0,0
whd,0,0,1,100,0,0,1,0,0,0,0
